Datetime,Date,MOSAiC obs,CARRA2
2019-10-24 06:00:00,2019-10-24 06:00:00,-11.465294572222222,-22.857382202148415
2019-10-24 09:00:00,2019-10-24 09:00:00,-12.58452494722222,-23.04875793457029
2019-10-24 12:00:00,2019-10-24 12:00:00,-13.310795558333332,-23.45220031738279
2019-10-24 15:00:00,2019-10-24 15:00:00,-12.653103641666668,-22.826132202148415
2019-10-24 18:00:00,2019-10-24 18:00:00,-14.858161655555556,-22.34789123535154
2019-10-24 21:00:00,2019-10-24 21:00:00,-15.904298997222222,-20.856726074218727
2019-10-25 00:00:00,2019-10-25 00:00:00,-14.816810258333334,-19.914160156249977
2019-10-25 03:00:00,2019-10-25 03:00:00,-15.921148038888889,-18.564657592773415
2019-10-25 06:00:00,2019-10-25 06:00:00,-20.090692447222224,-17.51891174316404
2019-10-25 09:00:00,2019-10-25 09:00:00,-21.913833047222216,-16.540747070312477
2019-10-25 12:00:00,2019-10-25 12:00:00,-22.929524866666668,-15.56719055175779
2019-10-25 15:00:00,2019-10-25 15:00:00,-21.692191380555556,-15.080236816406227
2019-10-25 18:00:00,2019-10-25 18:00:00,-19.272362063888888,-14.91344299316404
2019-10-25 21:00:00,2019-10-25 21:00:00,-20.665898808333328,-15.681097412109352
2019-10-26 00:00:00,2019-10-26 00:00:00,-21.66897081666667,-16.45439758300779
2019-10-26 03:00:00,2019-10-26 03:00:00,-21.830912227777777,-18.896185302734352
2019-10-26 06:00:00,2019-10-26 06:00:00,-21.04686914722222,-22.079351806640602
2019-10-26 09:00:00,2019-10-26 09:00:00,-21.68685256666667,-24.184851074218727
2019-10-26 12:00:00,2019-10-26 12:00:00,-23.936799422222226,-25.325338745117165
2019-10-26 15:00:00,2019-10-26 15:00:00,-25.38371073611111,-26.149618530273415
2019-10-26 18:00:00,2019-10-26 18:00:00,-24.01210801666667,-26.913031005859352
2019-10-26 21:00:00,2019-10-26 21:00:00,-25.28549134722222,-27.185934448242165
2019-10-27 00:00:00,2019-10-27 00:00:00,-25.14974784722222,-25.594732666015602
2019-10-27 03:00:00,2019-10-27 03:00:00,-25.878416722222223,-26.490011596679665
2019-10-27 06:00:00,2019-10-27 06:00:00,-26.12793919722223,-26.73198547363279
2019-10-27 09:00:00,2019-10-27 09:00:00,-25.65268814166667,-26.540624999999977
2019-10-27 12:00:00,2019-10-27 12:00:00,-25.39251113888889,-26.838827514648415
2019-10-27 15:00:00,2019-10-27 15:00:00,-25.16437745,-26.689596557617165
2019-10-27 18:00:00,2019-10-27 18:00:00,-25.20905453611111,-25.430868530273415
2019-10-27 21:00:00,2019-10-27 21:00:00,-24.17535874444444,-24.03075256347654
2019-10-28 00:00:00,2019-10-28 00:00:00,-18.733507202777776,-21.169454956054665
2019-10-28 03:00:00,2019-10-28 03:00:00,-15.767421336111111,-18.623358154296852
2019-10-28 06:00:00,2019-10-28 06:00:00,-14.399100027777779,-18.709539794921852
2019-10-28 09:00:00,2019-10-28 09:00:00,-14.199976666666666,-19.687322998046852
2019-10-28 12:00:00,2019-10-28 12:00:00,-14.832521541666665,-21.652319335937477
2019-10-28 15:00:00,2019-10-28 15:00:00,-12.761736086111114,-22.06542053222654
2019-10-28 18:00:00,2019-10-28 18:00:00,-12.253739261111113,-20.546545410156227
2019-10-28 21:00:00,2019-10-28 21:00:00,-16.30190916666667,-20.010580444335915
2019-10-29 00:00:00,2019-10-29 00:00:00,-16.305262544444442,-19.78294982910154
2019-10-29 03:00:00,2019-10-29 03:00:00,-15.086280344444445,-20.30168762207029
2019-10-29 06:00:00,2019-10-29 06:00:00,-20.117185827777778,-20.97881164550779
2019-10-29 09:00:00,2019-10-29 09:00:00,-21.007080419444446,-21.551916503906227
2019-10-29 12:00:00,2019-10-29 12:00:00,-22.16209325277778,-22.110433959960915
2019-10-29 15:00:00,2019-10-29 15:00:00,-19.459296561111113,-23.30821838378904
2019-10-29 18:00:00,2019-10-29 18:00:00,-20.429910580555553,-23.861349487304665
2019-10-29 21:00:00,2019-10-29 21:00:00,-21.235907480555557,-23.657675170898415
2019-10-30 00:00:00,2019-10-30 00:00:00,-18.636364547222225,-24.521078491210915
2019-10-30 03:00:00,2019-10-30 03:00:00,-16.294503199999998,-24.21684875488279
2019-10-30 06:00:00,2019-10-30 06:00:00,-16.03331863611111,-25.171759033203102
2019-10-30 09:00:00,2019-10-30 09:00:00,-16.61658684722222,-25.717657470703102
2019-10-30 12:00:00,2019-10-30 12:00:00,-16.215642788888893,-26.74089660644529
2019-10-30 15:00:00,2019-10-30 15:00:00,-17.10320583888889,-28.377157592773415
2019-10-30 18:00:00,2019-10-30 18:00:00,-19.63602080833333,-28.818258666992165
2019-10-30 21:00:00,2019-10-30 21:00:00,-21.50140396388889,-29.150457763671852
2019-10-31 00:00:00,2019-10-31 00:00:00,-21.306904324999998,-29.537115478515602
2019-10-31 03:00:00,2019-10-31 03:00:00,-23.522864208333335,-30.010275268554665
2019-10-31 06:00:00,2019-10-31 06:00:00,-21.421744230555557,-29.392095947265602
2019-10-31 09:00:00,2019-10-31 09:00:00,-21.135247458333332,-28.696813964843727
2019-10-31 12:00:00,2019-10-31 12:00:00,-23.007513077777777,-28.523565673828102
2019-10-31 15:00:00,2019-10-31 15:00:00,-23.020623866666668,-27.905218505859352
2019-10-31 18:00:00,2019-10-31 18:00:00,-22.076475275000004,-27.08147277832029
2019-10-31 21:00:00,2019-10-31 21:00:00,-23.922412186111114,-26.485388183593727
2019-11-01 00:00:00,2019-11-01 00:00:00,-20.981960319444443,-26.217382812499977
2019-11-01 03:00:00,2019-11-01 03:00:00,-19.335052372222226,-25.194494628906227
2019-11-01 06:00:00,2019-11-01 06:00:00,-18.389570194444445,-24.689276123046852
2019-11-01 09:00:00,2019-11-01 09:00:00,-18.090602836111113,-24.60307922363279
2019-11-01 12:00:00,2019-11-01 12:00:00,-18.578576350000002,-23.953161621093727
2019-11-01 15:00:00,2019-11-01 15:00:00,-18.81433595277778,-23.23412170410154
2019-11-01 18:00:00,2019-11-01 18:00:00,-18.61945588611111,-24.10283508300779
2019-11-01 21:00:00,2019-11-01 21:00:00,-18.579165280555557,-26.008566284179665
2019-11-02 00:00:00,2019-11-02 00:00:00,-18.95015126666667,-27.870153808593727
2019-11-02 03:00:00,2019-11-02 03:00:00,-19.697127825,-27.053976440429665
2019-11-02 06:00:00,2019-11-02 06:00:00,-21.055559244444442,-27.483862304687477
2019-11-02 09:00:00,2019-11-02 09:00:00,-23.39628760277778,-27.298239135742165
2019-11-02 12:00:00,2019-11-02 12:00:00,-27.27375560833333,-26.676367187499977
2019-11-02 15:00:00,2019-11-02 15:00:00,-24.433127727777777,-27.20403137207029
2019-11-02 18:00:00,2019-11-02 18:00:00,-22.521116594444447,-27.635931396484352
2019-11-02 21:00:00,2019-11-02 21:00:00,-22.51855296388889,-27.827154541015602
2019-11-03 00:00:00,2019-11-03 00:00:00,-19.151920983333337,-28.429876708984352
2019-11-03 03:00:00,2019-11-03 03:00:00,-16.639634983333334,-27.467489624023415
2019-11-03 06:00:00,2019-11-03 06:00:00,-18.463541108333335,-26.113043212890602
2019-11-03 09:00:00,2019-11-03 09:00:00,-23.354735844444445,-24.856970214843727
2019-11-03 12:00:00,2019-11-03 12:00:00,-20.47052561111111,-23.41203918457029
2019-11-03 15:00:00,2019-11-03 15:00:00,-19.005473580555552,-23.184667968749977
2019-11-03 18:00:00,2019-11-03 18:00:00,-18.103003516666664,-22.77464904785154
2019-11-03 21:00:00,2019-11-03 21:00:00,-18.77876495,-23.296835327148415
2019-11-04 00:00:00,2019-11-04 00:00:00,-18.686268227777777,-23.357260131835915
2019-11-04 03:00:00,2019-11-04 03:00:00,-17.616895636111114,-21.756292724609352
2019-11-04 06:00:00,2019-11-04 06:00:00,-17.09406928888889,-20.501531982421852
2019-11-04 09:00:00,2019-11-04 09:00:00,-16.555055324999998,-19.89195861816404
2019-11-04 12:00:00,2019-11-04 12:00:00,-17.204248411111113,-20.270117187499977
2019-11-04 15:00:00,2019-11-04 15:00:00,-18.681873927777776,-20.902227783203102
2019-11-04 18:00:00,2019-11-04 18:00:00,-23.815353713888886,-21.974096679687477
2019-11-04 21:00:00,2019-11-04 21:00:00,-26.344110044444445,-25.14348449707029
2019-11-05 00:00:00,2019-11-05 00:00:00,-22.272141191666666,-27.572897338867165
2019-11-05 03:00:00,2019-11-05 03:00:00,-19.377022927777777,-28.091253662109352
2019-11-05 06:00:00,2019-11-05 06:00:00,-22.138152625,-27.595739746093727
2019-11-05 09:00:00,2019-11-05 09:00:00,-24.49013736666667,-26.936193847656227
2019-11-05 12:00:00,2019-11-05 12:00:00,-25.160955599999998,-27.27721252441404
2019-11-05 15:00:00,2019-11-05 15:00:00,-24.58003278055556,-27.204351806640602
2019-11-05 18:00:00,2019-11-05 18:00:00,-21.539299027777783,-27.95842590332029
2019-11-05 21:00:00,2019-11-05 21:00:00,-21.28186646388889,-29.118917846679665
2019-11-06 00:00:00,2019-11-06 00:00:00,-22.61529101944444,-29.802282714843727
2019-11-06 03:00:00,2019-11-06 03:00:00,-25.008897133333335,-29.975729370117165
2019-11-06 06:00:00,2019-11-06 06:00:00,-27.965621119444446,-29.91387023925779
2019-11-06 09:00:00,2019-11-06 09:00:00,-26.445391527777776,-30.68663635253904
2019-11-06 12:00:00,2019-11-06 12:00:00,-20.980569277777775,-29.545324707031227
2019-11-06 15:00:00,2019-11-06 15:00:00,-18.602167197222222,-27.075384521484352
2019-11-06 18:00:00,2019-11-06 18:00:00,-19.038652405555556,-27.408590698242165
2019-11-06 21:00:00,2019-11-06 21:00:00,-19.56036618611111,-27.55504455566404
2019-11-07 00:00:00,2019-11-07 00:00:00,-19.286900227777778,-28.132482910156227
2019-11-07 03:00:00,2019-11-07 03:00:00,-20.585991447222224,-25.632711791992165
2019-11-07 06:00:00,2019-11-07 06:00:00,-23.530562774999996,-25.52544250488279
2019-11-07 09:00:00,2019-11-07 09:00:00,-23.543613949999997,-25.170675659179665
2019-11-07 12:00:00,2019-11-07 12:00:00,-22.743979044444444,-23.691366577148415
2019-11-07 15:00:00,2019-11-07 15:00:00,-22.700020488888892,-22.77660217285154
2019-11-07 18:00:00,2019-11-07 18:00:00,-25.794631677777776,-22.426092529296852
2019-11-07 21:00:00,2019-11-07 21:00:00,-27.28687110555556,-24.162969970703102
2019-11-08 00:00:00,2019-11-08 00:00:00,-25.669917375,-28.208044433593727
2019-11-08 03:00:00,2019-11-08 03:00:00,-22.08152151388889,-27.253240966796852
2019-11-08 06:00:00,2019-11-08 06:00:00,-22.392903083333334,-27.417395019531227
