Datetime Latitude Longitude
2019092017 69.67955 18.99664
2019092018 69.67955 18.99665
2019092019 69.68378 19.02527
2019092020 69.80262 19.41134
2019092021 69.91434 19.89519
2019092022 70.09253 20.23073
2019092023 70.28971 20.43964
2019092100 70.46332 20.80802
2019092101 70.63522 21.17132
2019092102 70.81119 21.54236
2019092103 70.9619 22.01045
2019092104 71.1125 22.52036
2019092105 71.26079 23.03522
2019092106 71.40394 23.54445
2019092107 71.54404 24.05521
2019092108 71.67923 24.55958
2019092109 71.81303 25.07212
2019092110 71.94108 25.57423
2019092111 72.06317 26.06438
2019092112 72.14798 26.41001
2019092113 72.28545 26.85751
2019092114 72.43329 27.34232
2019092115 72.58152 27.89411
2019092116 72.74398 28.39975
2019092117 72.89066 28.92401
2019092118 73.03655 29.44981
2019092119 73.17963 29.98339
2019092120 73.32211 30.52913
2019092121 73.46276 31.08256
2019092122 73.60168 31.64388
2019092123 73.73809 32.20936
2019092200 73.87609 32.7993
2019092201 74.01256 33.399
2019092202 74.14396 33.99298
2019092203 74.27761 34.61466
2019092204 74.41307 35.26567
2019092205 74.54602 35.92355
2019092206 74.67485 36.58058
2019092207 74.80356 37.2603
2019092208 74.93098 37.9543
2019092209 75.05481 38.65163
2019092210 75.17563 39.35641
2019092211 75.29393 40.06884
2019092212 75.40777 40.77774
2019092213 75.51823 41.491
2019092214 75.62692 42.21767
2019092215 75.73465 42.96285
2019092216 75.84079 43.72071
2019092217 75.9433 44.49021
2019092218 76.04395 45.2695
2019092219 76.13942 46.03786
2019092220 76.23201 46.814
2019092221 76.3219 47.59904
2019092222 76.40849 48.38479
2019092223 76.49318 49.18536
2019092300 76.57606 50.00448
2019092301 76.65608 50.83391
2019092302 76.73172 51.65111
2019092303 76.80469 52.47719
2019092304 76.87523 53.31589
2019092305 76.94114 54.14152
2019092306 77.03841 54.89627
2019092307 77.16918 55.54668
2019092308 77.29086 56.22831
2019092309 77.39976 56.92095
2019092310 77.51162 57.63815
2019092311 77.62489 58.37134
2019092312 77.73794 59.1092
2019092313 77.84994 59.84747
2019092314 77.96086 60.5846
2019092315 78.07137 61.32604
2019092316 78.1826 62.07968
2019092317 78.29466 62.84549
2019092318 78.40738 63.62313
2019092319 78.51854 64.39726
2019092320 78.62929 65.17649
2019092321 78.73835 65.95028
2019092322 78.84445 66.71087
2019092323 78.95201 67.48928
2019092400 79.06006 68.27802
2019092401 79.16161 69.09532
2019092402 79.26247 69.95997
2019092403 79.36694 70.86238
2019092404 79.4722 71.78125
2019092405 79.57664 72.70287
2019092406 79.68288 73.64987
2019092407 79.7929 74.63958
2019092408 79.92189 75.38209
2019092409 79.99599 76.42097
2019092410 80.09275 77.3579
2019092411 80.14151 78.40027
2019092412 80.22707 79.29926
2019092413 80.37942 80.02595
2019092414 80.49153 81.02305
2019092415 80.61974 82.01835
2019092416 80.75415 83.07707
2019092417 80.89116 84.1709
2019092418 81.02819 85.28127
2019092419 81.15928 86.35933
2019092420 81.29232 87.47013
2019092421 81.42716 88.59997
2019092422 81.56421 89.74152
2019092423 81.65582 90.92429
2019092500 81.60735 92.3509
2019092501 81.55955 93.74593
2019092502 81.51263 95.11095
2019092503 81.46448 96.50276
2019092504 81.34058 97.5902
2019092505 81.18693 98.51286
2019092506 81.03714 99.14896
2019092507 80.89872 99.92094
2019092508 80.86184 100.99825
2019092509 80.84129 101.80878
2019092510 80.84415 102.6369
2019092511 80.85939 103.30623
2019092512 80.84614 104.00747
2019092513 80.87118 104.66589
2019092514 80.93967 105.17798
2019092515 81.02236 105.69473
2019092516 81.06482 106.32365
2019092517 81.06429 106.9913
2019092518 81.03127 107.62093
2019092519 81.05327 108.30513
2019092520 81.0714 109.00705
2019092521 81.12989 109.70207
2019092522 81.21015 110.15007
2019092523 81.26152 110.74399
2019092600 81.32203 111.44021
2019092601 81.40883 112.03379
2019092602 81.39206 112.63868
2019092603 81.39535 112.63304
2019092604 81.39891 112.65649
2019092605 81.407 113.07905
2019092606 81.4683 113.79572
2019092607 81.55975 114.52177
2019092608 81.59384 115.44355
2019092609 81.67498 116.48714
2019092610 81.74633 117.11173
2019092611 81.82274 117.71013
2019092612 81.85928 118.36107
2019092613 81.90313 119.07647
2019092614 81.94088 119.47121
2019092615 82.04427 119.77083
2019092616 82.0626 119.43119
2019092617 82.06467 119.27985
2019092618 82.06656 119.29774
2019092619 82.06302 119.28547
2019092620 82.06351 119.28482
2019092621 82.06454 119.27863
2019092622 82.06282 119.27123
2019092623 82.06528 119.28361
2019092700 82.07193 119.28395
2019092701 82.07839 119.28834
2019092702 82.08447 119.3071
2019092703 82.09003 119.34863
2019092704 82.01358 119.36002
2019092705 81.9587 119.30764
2019092706 81.95872 119.3123
2019092707 81.95675 119.30017
2019092708 81.95734 119.76762
2019092709 81.9556 119.77735
2019092710 81.95898 119.73321
2019092711 82.02665 119.9107
2019092712 82.04598 120.22059
2019092713 82.1482 120.04335
2019092714 82.24383 119.85106
2019092715 82.29635 119.43929
2019092716 82.2624 118.88232
2019092717 82.15183 119.15708
2019092718 82.07592 119.55645
2019092719 82.07022 119.76301
2019092720 82.06915 119.7656
2019092721 82.06873 119.75468
2019092722 82.07665 119.71614
2019092723 82.07191 119.64632
2019092800 82.07815 119.55566
2019092801 82.09035 119.49728
2019092802 82.09822 119.55947
2019092803 82.10883 119.57392
2019092804 82.15014 119.67779
2019092805 82.23077 120.0748
2019092806 82.33015 120.47024
2019092807 82.45597 120.52586
2019092808 82.56787 121.21147
2019092809 82.65732 121.74149
2019092810 82.76724 122.03267
2019092811 82.85898 122.39533
2019092812 82.90819 122.93839
2019092813 83.01568 123.43371
2019092814 83.08311 124.04678
2019092815 83.18634 124.62814
2019092816 83.27913 125.34736
2019092817 83.36799 125.85119
2019092818 83.47084 126.00416
2019092819 83.56778 126.40431
2019092820 83.66563 126.79384
2019092821 83.76252 127.17302
2019092822 83.85358 127.71647
2019092823 83.94145 128.31987
2019092900 84.04065 128.54404
2019092901 84.15035 129.00276
2019092902 84.18624 129.13993
2019092903 84.27307 129.8133
2019092904 84.38129 129.19663
2019092905 84.46889 128.82501
2019092906 84.54231 128.60257
2019092907 84.54212 128.57869
2019092908 84.54194 128.54467
2019092909 84.54153 128.57607
2019092910 84.56433 129.42659
2019092911 84.64691 129.88348
2019092912 84.69726 130.64989
2019092913 84.7516 131.75887
2019092914 84.81248 132.88006
2019092915 84.85457 134.10231
2019092916 84.89847 135.02484
2019092917 84.95945 135.90913
2019092918 84.99068 136.86883
2019092919 85.06901 137.47299
2019092920 85.12095 138.12873
2019092921 85.11921 138.07856
2019092922 85.11775 138.01511
2019092923 85.12397 138.03845
2019093000 85.12441 137.98648
2019093001 85.12389 137.93745
2019093002 85.12301 137.89761
2019093003 85.12141 137.86352
2019093004 85.11902 137.8309
2019093005 85.11599 137.79486
2019093006 85.11249 137.75001
2019093007 85.10904 137.69561
2019093008 85.10606 137.63397
2019093009 85.10376 137.56843
2019093010 85.10199 137.50478
2019093011 85.10073 137.4468
2019093012 85.09931 137.39965
2019093013 85.09669 137.36571
2019093014 85.09328 137.33839
2019093015 85.08916 137.31367
2019093016 85.08431 137.28808
2019093017 85.07904 137.25708
2019093018 85.07394 137.22142
2019093019 85.06938 137.1795
2019093020 85.06568 137.13248
2019093021 85.06311 137.08482
2019093022 85.06171 137.03894
2019093023 85.06115 136.99905
2019100100 85.06107 136.96709
2019100101 85.06076 136.94463
2019100102 85.06013 136.92835
2019100103 85.05899 136.9169
2019100104 85.05725 136.90697
2019100105 85.05509 136.89401
2019100106 85.05271 136.8766
2019100107 85.05054 136.85455
2019100108 85.04901 136.82475
2019100109 85.04831 136.7931
2019100110 85.04876 136.75887
2019100111 85.05005 136.72531
2019100112 85.05188 136.69874
2019100113 85.05373 136.68084
2019100114 85.05525 136.66841
2019100115 85.05623 136.66041
2019100116 85.05675 136.654
2019100117 85.05684 136.64547
2019100118 85.05681 136.63073
2019100119 85.05694 136.60993
2019100120 85.05752 136.58324
2019100121 85.06228 136.30239
2019100122 85.12386 135.17714
2019100123 85.11998 134.54922
2019100200 85.12265 134.52707
2019100201 85.16646 134.41296
2019100202 85.16506 134.47377
2019100203 85.16672 134.47229
2019100204 85.1638 134.49252
2019100205 85.17085 134.40924
2019100206 85.16752 134.46453
2019100207 85.16746 134.4512
2019100208 85.16777 134.43306
2019100209 85.16875 134.40656
2019100210 85.16958 134.38349
2019100211 85.17145 134.35943
2019100212 85.17341 134.34171
2019100213 85.17614 134.3265
2019100214 85.17788 134.32151
2019100215 85.17921 134.31993
2019100216 85.18 134.31855
2019100217 85.18016 134.31477
2019100218 85.18006 134.30622
2019100219 85.18003 134.2912
2019100220 85.18023 134.2707
2019100221 85.18098 134.2445
2019100222 85.18182 134.21799
2019100223 85.18284 134.19397
2019100300 85.18421 134.17348
2019100301 85.1856 134.15437
2019100302 85.18676 134.13653
2019100303 85.18701 134.12019
2019100304 85.18604 134.11339
2019100305 85.15413 134.07517
2019100306 85.14625 134.00008
2019100307 85.14507 133.97205
2019100308 85.14355 133.94323
2019100309 85.14203 133.91305
2019100310 85.14084 133.87553
2019100311 85.13623 133.89783
2019100312 85.13583 133.85095
2019100313 85.13579 133.80523
2019100314 85.13559 133.76118
2019100315 85.13515 133.72033
2019100316 85.13404 133.68352
2019100317 85.13244 133.64204
2019100318 85.13074 133.59348
2019100319 85.12908 133.53818
2019100320 85.12753 133.47693
2019100321 85.12631 133.40563
2019100322 85.12541 133.32155
2019100323 85.12502 133.23712
2019100400 85.12514 133.15914
2019100401 85.12736 133.07569
2019100402 85.12776 132.994
2019100403 85.12676 132.90677
2019100404 85.12674 132.84519
2019100405 85.1261 132.78461
2019100406 85.12532 132.71819
2019100407 85.12474 132.66824
2019100408 85.1256 132.61519
2019100409 85.12768 132.51877
2019100410 85.1267 132.5704
2019100411 85.13365 133.28922
2019100412 85.12304 134.4739
2019100413 85.10471 134.98885
2019100414 85.07638 134.40418
2019100415 85.07669 134.35128
2019100416 85.07703 134.29846
2019100417 85.07717 134.25239
2019100418 85.07721 134.20725
2019100419 85.07721 134.16321
2019100420 85.07743 134.1191
2019100421 85.07797 134.07452
2019100422 85.07909 134.03137
2019100423 85.08069 133.99049
2019100500 85.0828 133.95246
2019100501 85.08521 133.91827
2019100502 85.08761 133.89095
2019100503 85.08962 133.87145
2019100504 85.09124 133.85546
2019100505 85.09228 133.84342
2019100506 85.09294 133.83157
2019100507 85.09355 133.81642
2019100508 85.09408 133.79911
2019100509 85.09485 133.7807
2019100510 85.0959 133.76336
2019100511 85.09732 133.74827
2019100512 85.09912 133.737
2019100513 85.10115 133.73006
2019100514 85.10326 133.72732
2019100515 85.10534 133.73003
2019100516 85.10708 133.73782
2019100517 85.10837 133.74738
2019100518 85.1089 133.75695
2019100519 85.10925 133.7636
2019100520 85.10929 133.76438
2019100521 85.10928 133.76296
2019100522 85.10929 133.76261
2019100523 85.10942 133.76433
2019100600 85.10954 133.76641
2019100601 85.10955 133.77084
2019100602 85.10957 133.78065
2019100603 85.10949 133.79472
2019100604 85.1092 133.80872
2019100605 85.10855 133.82034
2019100606 85.10768 133.82813
2019100607 85.10659 133.83295
2019100608 85.10537 133.83467
2019100609 85.10426 133.83692
2019100610 85.10342 133.84127
2019100611 85.10289 133.84783
2019100612 85.1025 133.85638
2019100613 85.10238 133.8671
2019100614 85.10234 133.88156
2019100615 85.10227 133.89948
2019100616 85.10209 133.92037
2019100617 85.10171 133.94472
2019100618 85.10101 133.97171
2019100619 85.09978 134.00132
2019100620 85.09815 134.03054
2019100621 85.09647 134.0542
2019100622 85.09483 134.07491
2019100623 85.0933 134.09552
2019100700 85.092 134.12032
2019100701 85.09101 134.14913
2019100702 85.09024 134.18184
2019100703 85.08922 134.21825
2019100704 85.08784 134.25626
2019100705 85.08614 134.29676
2019100706 85.08402 134.33844
2019100707 85.08177 134.37826
2019100708 85.07924 134.41526
2019100709 85.07678 134.45082
2019100710 85.07442 134.48828
2019100711 85.07196 134.53425
2019100712 85.06937 134.59095
2019100713 85.06647 134.65443
2019100714 85.06359 134.72002
2019100715 85.0603 134.7888
2019100716 85.05677 134.85404
2019100717 85.0529 134.91744
2019100718 85.04894 134.97992
2019100719 85.04492 135.04275
2019100720 85.04124 135.10512
2019100721 85.03797 135.17231
2019100722 85.03489 135.25062
2019100723 85.03112 135.34997
2019100800 85.02707 135.4531
2019100801 85.02302 135.5568
2019100802 85.01872 135.66083
